millis,stamp,datetime,status
999, 1538117474, 2018/9/28 6:51:14, Nothing
2999, 1538117476, 2018/9/28 6:51:16, Nothing
4999, 1538117478, 2018/9/28 6:51:18, Nothing
6999, 1538117480, 2018/9/28 6:51:20, Nothing
8999, 1538117482, 2018/9/28 6:51:22, Nothing
10999, 1538117484, 2018/9/28 6:51:24, Nothing
12999, 1538117486, 2018/9/28 6:51:26, Chilren exiting
16999, 1538117490, 2018/9/28 6:51:30, Nothing
18999, 1538117492, 2018/9/28 6:51:32, Nothing
20999, 1538117494, 2018/9/28 6:51:34, Nothing
22999, 1538117496, 2018/9/28 6:51:36, Nothing
24998, 1538117498, 2018/9/28 6:51:38, Nothing
26999, 1538117500, 2018/9/28 6:51:40, Nothing
28999, 1538117502, 2018/9/28 6:51:42, Nothing
30999, 1538117504, 2018/9/28 6:51:44, Nothing
32999, 1538117506, 2018/9/28 6:51:46, Nothing
34999, 1538117508, 2018/9/28 6:51:48, Nothing
36999, 1538117510, 2018/9/28 6:51:50, Nothing
38999, 1538117512, 2018/9/28 6:51:52, Nothing
40999, 1538117514, 2018/9/28 6:51:54, Nothing
42999, 1538117516, 2018/9/28 6:51:56, Nothing
44999, 1538117518, 2018/9/28 6:51:58, Nothing
46999, 1538117520, 2018/9/28 6:52:0, Nothing
48999, 1538117522, 2018/9/28 6:52:2, Nothing
50999, 1538117524, 2018/9/28 6:52:4, Nothing
52999, 1538117526, 2018/9/28 6:52:6, Nothing
54999, 1538117528, 2018/9/28 6:52:8, Nothing
56999, 1538117530, 2018/9/28 6:52:10, Children entering
61000, 1538117534, 2018/9/28 6:52:14, Children entering
64999, 1538117538, 2018/9/28 6:52:18, Nothing
66999, 1538117540, 2018/9/28 6:52:20, Nothing
68999, 1538117542, 2018/9/28 6:52:22, Nothing
70999, 1538117544, 2018/9/28 6:52:24, Nothing
72999, 1538117546, 2018/9/28 6:52:26, Nothing
74999, 1538117548, 2018/9/28 6:52:28, Nothing
76999, 1538117550, 2018/9/28 6:52:30, Children entering
80999, 1538117554, 2018/9/28 6:52:34, Chilren exiting
84999, 1538117558, 2018/9/28 6:52:38, Nothing
86999, 1538117560, 2018/9/28 6:52:40, Children entering
90999, 1538117564, 2018/9/28 6:52:44, Nothing
92999, 1538117566, 2018/9/28 6:52:46, Nothing
94999, 1538117568, 2018/9/28 6:52:48, Nothing
96999, 1538117570, 2018/9/28 6:52:50, Nothing
98999, 1538117572, 2018/9/28 6:52:52, Nothing
100999, 1538117574, 2018/9/28 6:52:54, Nothing
102999, 1538117576, 2018/9/28 6:52:56, Nothing
104999, 1538117578, 2018/9/28 6:52:58, Nothing
106999, 1538117580, 2018/9/28 6:53:0, Nothing
108999, 1538117582, 2018/9/28 6:53:2, Nothing
110999, 1538117584, 2018/9/28 6:53:4, Nothing
112999, 1538117586, 2018/9/28 6:53:6, Nothing
114999, 1538117588, 2018/9/28 6:53:8, Nothing
117000, 1538117590, 2018/9/28 6:53:10, Nothing
118999, 1538117592, 2018/9/28 6:53:12, Nothing
120999, 1538117594, 2018/9/28 6:53:14, Nothing
122999, 1538117596, 2018/9/28 6:53:16, Nothing
124999, 1538117598, 2018/9/28 6:53:18, Nothing
